Date, Unread, Inbox Total, Deleted Total

2014-01-06 14:45:05, 257, 1363, 969
2014-01-06 14:50:15, 259, 1366, 971
2014-01-06 14:55:07, 265, 1369, 974
2014-01-06 15:00:06, 258, 1365, 978
2014-01-06 15:05:07, 259, 1366, 981
2014-01-06 15:10:05, 257, 1364, 985
2014-01-06 15:15:06, 258, 1365, 985
2014-01-06 15:20:06, 258, 1365, 985
2014-01-06 15:25:04, 255, 1363, 989
2014-01-06 15:30:05, 256, 1366, 990
2014-01-06 15:35:04, 258, 1371, 990
2014-01-06 15:40:03, 257, 1374, 990
2014-01-06 15:45:08, 261, 1378, 990
2014-01-06 15:50:05, 258, 1377, 996
2014-01-06 15:55:06, 255, 1375, 999
2014-01-06 16:00:05, 255, 1375, 999
2014-01-06 16:05:11, 256, 1376, 999
2014-01-06 16:10:06, 256, 1376, 999
2014-01-06 16:15:08, 255, 1376, 1000
2014-01-06 16:20:08, 257, 1378, 1000
2014-01-06 16:25:04, 257, 1378, 1000
2014-01-06 16:30:07, 256, 1378, 1000
2014-01-06 16:35:04, 256, 1378, 1000
2014-01-06 16:40:08, 256, 1379, 1000
2014-01-06 16:45:03, 256, 1379, 1000
2014-01-06 16:50:07, 256, 1379, 1000
2014-01-06 16:55:04, 256, 1379, 1000
2014-01-06 17:00:10, 256, 1379, 1000
2014-01-06 17:05:05, 257, 1380, 1000
2014-01-06 17:10:08, 257, 1380, 1000
2014-01-06 17:15:05, 258, 1381, 1000
2014-01-06 17:20:06, 258, 1381, 1000
2014-01-06 17:25:07, 258, 1381, 1000
2014-01-06 17:30:06, 258, 1381, 1000
2014-01-06 17:35:04, 258, 1381, 1000
2014-01-06 17:40:05, 258, 1381, 1000
2014-01-06 17:45:06, 259, 1382, 1000
2014-01-06 17:50:04, 259, 1382, 1000
2014-01-06 17:55:06, 259, 1382, 1000
2014-01-06 18:00:04, 259, 1382, 1000
2014-01-06 18:05:04, 259, 1382, 1000
2014-01-06 18:10:04, 260, 1383, 1000
2014-01-06 18:15:06, 260, 1383, 1000
2014-01-06 18:20:05, 260, 1383, 1000
2014-01-06 18:25:06, 260, 1383, 1000
2014-01-06 18:30:07, 260, 1383, 1000
2014-01-06 18:35:05, 260, 1383, 1000
2014-01-06 18:40:05, 260, 1383, 1000
2014-01-06 18:45:30, 260, 1383, 1000
2014-01-06 18:50:06, 260, 1383, 1000
2014-01-06 18:55:06, 260, 1383, 1000
2014-01-06 19:00:06, 260, 1383, 1000
2014-01-06 19:05:05, 261, 1384, 1000
2014-01-06 19:10:05, 261, 1384, 1000
2014-01-06 19:15:06, 261, 1384, 1000
2014-01-06 19:20:04, 261, 1384, 1000
2014-01-06 19:25:05, 261, 1384, 1000
2014-01-06 19:30:03, 261, 1384, 1000
2014-01-06 19:35:05, 261, 1384, 1000
2014-01-06 19:40:06, 261, 1384, 1000
2014-01-06 19:45:04, 261, 1384, 1000
2014-01-06 19:50:07, 261, 1384, 1000
2014-01-06 19:55:05, 261, 1384, 1000
2014-01-06 20:00:08, 261, 1384, 1000
2014-01-06 20:05:07, 261, 1384, 1000
2014-01-06 20:10:04, 261, 1384, 1000
2014-01-06 20:15:05, 261, 1384, 1000
2014-01-06 20:20:04, 261, 1384, 1000
2014-01-06 20:25:05, 261, 1384, 1000
2014-01-06 20:30:05, 261, 1384, 1000
2014-01-06 20:35:06, 261, 1384, 1000
2014-01-06 20:40:08, 261, 1384, 1000
2014-01-06 20:45:04, 261, 1384, 1000
2014-01-06 20:50:05, 261, 1385, 1000
2014-01-06 20:55:07, 261, 1385, 1000
2014-01-06 21:00:04, 261, 1385, 1000
2014-01-06 21:05:27, 261, 1385, 1000
2014-01-06 21:10:06, 261, 1385, 1000
2014-01-06 21:15:07, 261, 1385, 1000
2014-01-06 21:20:05, 261, 1385, 1000
2014-01-06 21:25:05, 261, 1385, 1000
2014-01-06 21:30:07, 261, 1385, 1000
2014-01-06 21:35:05, 261, 1385, 1000
2014-01-06 21:40:08, 261, 1385, 1000
2014-01-06 21:45:06, 261, 1385, 1000
2014-01-06 21:50:07, 261, 1385, 1000
2014-01-06 21:55:06, 261, 1385, 1000
2014-01-06 22:00:09, 262, 1386, 1000
2014-01-06 22:05:05, 262, 1386, 1000
2014-01-06 22:10:06, 262, 1386, 1000
2014-01-06 22:15:07, 262, 1386, 1000
2014-01-06 22:20:07, 263, 1387, 1000
2014-01-06 22:25:07, 263, 1387, 1000
2014-01-06 22:30:04, 263, 1387, 1000
2014-01-06 22:35:07, 263, 1387, 1000
2014-01-06 22:40:05, 263, 1387, 1000
2014-01-06 22:45:04, 263, 1387, 1000
2014-01-06 22:50:05, 263, 1387, 1000
2014-01-06 22:55:03, 263, 1387, 1000
2014-01-06 23:00:06, 263, 1387, 1000
2014-01-06 23:05:06, 263, 1387, 1000
2014-01-06 23:10:05, 263, 1387, 1000
2014-01-06 23:15:04, 263, 1387, 1000
2014-01-06 23:20:10, 263, 1387, 1000
2014-01-06 23:25:06, 263, 1387, 1000
2014-01-06 23:30:08, 261, 1387, 1000
2014-01-06 23:35:06, 261, 1387, 1000
2014-01-06 23:40:07, 261, 1387, 1000
2014-01-06 23:45:05, 262, 1388, 1000
2014-01-06 23:50:04, 262, 1388, 1000
2014-01-06 23:55:07, 263, 1389, 1000
2014-01-07 00:00:06, 263, 1389, 1000
2014-01-07 00:05:05, 263, 1389, 1000
2014-01-07 00:10:05, 263, 1389, 1000
2014-01-07 00:15:04, 263, 1389, 1000
2014-01-07 00:20:04, 263, 1389, 1000
2014-01-07 00:25:03, 263, 1389, 1000
2014-01-07 00:30:07, 263, 1389, 1000
2014-01-07 00:35:05, 263, 1389, 1000
2014-01-07 00:40:06, 263, 1389, 1000
2014-01-07 00:45:07, 263, 1389, 1000
2014-01-07 00:50:07, 263, 1389, 1000
2014-01-07 00:55:06, 263, 1389, 1000
2014-01-07 01:00:07, 263, 1389, 1001
2014-01-07 01:05:06, 264, 1390, 1002
2014-01-07 01:10:06, 264, 1390, 1002
2014-01-07 01:15:08, 264, 1390, 1002
2014-01-07 01:20:10, 264, 1390, 1002
2014-01-07 01:25:12, 264, 1390, 1002
2014-01-07 01:30:07, 264, 1390, 1002
2014-01-07 01:35:08, 264, 1390, 1002
2014-01-07 01:40:04, 264, 1390, 1002
2014-01-07 01:45:05, 264, 1390, 1002
2014-01-07 01:50:05, 264, 1390, 1002
2014-01-07 01:55:07, 264, 1390, 1002
2014-01-07 02:00:04, 264, 1390, 1002
2014-01-07 02:05:07, 265, 1391, 1002
2014-01-07 02:10:07, 265, 1391, 1002
2014-01-07 02:15:07, 265, 1391, 1002
2014-01-07 02:20:06, 265, 1391, 1002
2014-01-07 02:25:08, 265, 1391, 1002
2014-01-07 02:30:08, 265, 1391, 1002
2014-01-07 02:35:06, 265, 1391, 1002
2014-01-07 02:40:08, 265, 1391, 1002
2014-01-07 02:45:05, 265, 1391, 1002
2014-01-07 02:50:07, 265, 1391, 1002
2014-01-07 02:55:05, 265, 1391, 1002
2014-01-07 03:00:05, 265, 1391, 1002
2014-01-07 03:05:07, 265, 1391, 1002
2014-01-07 03:10:05, 266, 1392, 1002
2014-01-07 03:15:08, 266, 1392, 1002
2014-01-07 03:20:05, 266, 1392, 1002
2014-01-07 03:25:07, 266, 1392, 1002
2014-01-07 03:30:06, 266, 1392, 1002
2014-01-07 03:35:06, 266, 1392, 1002
2014-01-07 03:40:05, 266, 1392, 1002
2014-01-07 03:45:04, 266, 1392, 1002
2014-01-07 03:50:07, 266, 1392, 1002
2014-01-07 03:55:04, 266, 1392, 1002
2014-01-07 04:00:06, 266, 1392, 1002
2014-01-07 04:05:09, 266, 1392, 1002
2014-01-07 04:10:06, 266, 1392, 1002
2014-01-07 04:15:08, 266, 1392, 1002
2014-01-07 04:20:06, 266, 1392, 1002
2014-01-07 04:25:05, 266, 1392, 1002
2014-01-07 04:30:04, 266, 1392, 1002
2014-01-07 04:35:05, 266, 1392, 1002
2014-01-07 04:40:07, 266, 1392, 1002
2014-01-07 04:45:08, 266, 1392, 1002
2014-01-07 04:50:03, 266, 1392, 1002
2014-01-07 04:55:05, 266, 1392, 1002
2014-01-07 05:00:04, 266, 1392, 1002
2014-01-07 05:05:09, 266, 1392, 1002
2014-01-07 05:10:05, 267, 1393, 1002
